Release_Year,EventGroup_strTitle,Event_dtmReleaseDate
2013,Hansel And Gretel Witch Hunters,01/01/2013 00:00:00
2013,7 Days In Slow Motion,04/01/2013 00:00:00
2013,Chinese Zodiac,04/01/2013 00:00:00
2013,The Impossible,04/01/2013 00:00:00
2013,Tropical Races 3,04/01/2013 00:00:00
2013,Universal Soldier: Day Of Reckoning,04/01/2013 00:00:00
2013,Comic Vampire,05/01/2013 00:00:00
2013,Dinosaur Reappearance,05/01/2013 00:00:00
2013,Roller Coaster & Dinosaur Adventure,05/01/2013 00:00:00
2013,Gangster Squad,11/01/2013 00:00:00
2013,Les Miserables.,11/01/2013 00:00:00
2013,Promised Land,11/01/2013 00:00:00
2013,Broken City,18/01/2013 00:00:00
2013,The Last Stand,18/01/2013 00:00:00
2013,This Is 40,22/01/2013 00:00:00
2013,End of Watch,25/01/2013 00:00:00
2013,Dance Of Death,30/01/2013 00:00:00
2013,Strange Stories & Dinosaur Reappearance,30/01/2013 00:00:00
2013,Bullet To The Head ,01/02/2013 00:00:00
2013,Here Comes the Boom,01/02/2013 00:00:00
2013,Midnight's Children,01/02/2013 00:00:00
2013,Parker,01/02/2013 00:00:00
2013,Argo,02/02/2013 00:00:00
2013,Lincoln,08/02/2013 00:00:00
2013,Mama,08/02/2013 00:00:00
2013,Beautiful Creatures,13/02/2013 00:00:00
2013,Forest Adventure & Ice Fighter,15/02/2013 00:00:00
2013,Forest Adventure & Roller Coaster,15/02/2013 00:00:00
2013,Ice Fighter & Roller Coaster,15/02/2013 00:00:00
2013,The Perks Of Being A Wallflower,15/02/2013 00:00:00
2013,Zero Dark Thirty,15/02/2013 00:00:00
2013,A Good Day To Die Hard,22/02/2013 00:00:00
2013,Dark Skies,22/02/2013 00:00:00
2013,Silver Linings Playbook,22/02/2013 00:00:00
2013,Pinocchio,24/02/2013 00:00:00
2013,Flight,01/03/2013 00:00:00
2013,Haunted Graves + Night With Toys,01/03/2013 00:00:00
2013,Jack The Giant Slayer ,01/03/2013 00:00:00
2013,Night At Toy Store + Roller Coaster,01/03/2013 00:00:00
2013,Pharaoh Queen +Time Machine,01/03/2013 00:00:00
2013,Predator Attack + Prehistoric Adventure,01/03/2013 00:00:00
2013,Rescue And Path Finder Snow,01/03/2013 00:00:00
2013,Dandelion,03/03/2013 00:00:00
2013,Prehistoric Adventure + Night With Toys,05/03/2013 00:00:00
2013,21 & Over,08/03/2013 00:00:00
2013,All I Want Is Everything,08/03/2013 00:00:00
2013,Flying Swords of Dragon Gate ,08/03/2013 00:00:00
2013,Oz The Great And Powerful  ,08/03/2013 00:00:00
2013,Snitch,08/03/2013 00:00:00
2013,Zarafa,14/03/2013 00:00:00
2013,Texas Chainsaw,15/03/2013 00:00:00
