number,year,title,domestic_box_office,production_budget,domestic_release_date,domestic_distributor,mpaa_rating,franchise,source,genre,production_method,creative_type,production_companies,production_countries,released_in_india_2nd_check,production_budget_bins,domestic_box_office_bins,director,genres_imdb_final,languages_imdb,id_imdb,genres_imdb_extended,distributor_us
3867,2017,Pirates of the Caribbean: Dead Men Tell No Tales,172558876,230000000,2017-05-26,Walt Disney,PG-13,Pirates of the Caribbean,Based on Theme Park Ride,Adventure,Live Action,Fantasy,"Walt Disney Pictures,Jerry Bruckheimer",United States,yes,225m-250m,150m-200m,"Joachim Ronnin,Espen Sandberg","action,adventure,fantasy","English,Spanish",1790809,"Action,Adventure,Fantasy",disney
164,2013,The East,2274649,6500000,2013-05-31,Fox Searchlight,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,Scott Free Films,United States,yes,100k-25m,50k-50m,Zal Batmanglij,"adventure,drama,thriller","English,American Sign Language",1869716,"Adventure,Drama,Thriller",21st_century_fox
12,2013,World War Z,202359711,190000000,2013-06-21,Paramount Pictures,PG-13,World War Z,Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,"Skydance Productions,Hemisphere Media Capital,GK Films,Plan B Entertainment,2Dux2",United States,yes,175m-200m,200m-250m,Marc Forster,"action,adventure,horror","English,Spanish,Hebrew,Arabic",816711,"Action,Adventure,Horror,Sci-Fi,Thriller",viacom
1834,2015,Ricki and the Flash,26839498,18000000,2015-08-07,Sony Pictures,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Marc Platt Productions,Badwill Entertainment ,LStar Capital",United States,yes,100k-25m,50k-50m,Jonathan Demme,"comedy,drama,music",English,3623726,"Comedy,Drama,Music",sony
851,2014,Transcendence,23022309,100000000,2014-04-18,Warner Bros.,PG-13,,Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,"Straight Up Films,DMG Entertainment",United States,yes,100m-125m,50k-50m,Wally Pfister,"drama,mystery,romance",English,2209764,"Drama,Mystery,Romance,Sci-Fi,Thriller",time_warner
3023,2016,The Birth of a Nation,15861566,10000000,2016-10-07,Fox Searchlight,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"Bron Studios,Phantom Four,Mandalay Pictures,Tiny Giant Productions,Follow Through Productions,Creative Wealth Media Finance,Fox Searchlight Pictures,Novofam Productions,Infinity Entertainment,Oster Media,Point Made Films,Juniper Productions,Argent Pictures,Hit 55 Ventures,TSG Entertainment",United States,yes,100k-25m,50k-50m,Nate Parker,"biography,drama,history",English,4196450,"Biography,Drama,History",21st_century_fox
2895,2016,Suicide Squad,325100054,175000000,2016-08-05,Warner Bros.,PG-13,DC Extended Universe,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Warner Bros.,RatPac Entertainment,Dune Entertainment,Atlas Entertainment",United States,yes,175m-200m,300m-350m,David Ayer,"action,adventure,fantasy","English,Japanese,Spanish",1386697,"Action,Adventure,Fantasy,Sci-Fi",time_warner
3986,2017,My Cousin Rachel,2716368,0,2017-06-09,Fox Searchlight,PG-13,,Remake,Drama,Live Action,Contemporary Fiction,"Fox Searchlight Pictures,TSG Entertainment,Free Range Film",United States,yes,no info,50k-50m,Roger Michell,"drama,mystery,romance","English,Italian",4411596,"Drama,Mystery,Romance",21st_century_fox
3074,2016,Green Room,3220371,5000000,2016-04-15,A24,R,,Original Screenplay,Horror,Live Action,Contemporary Fiction,"Broad Green Pictures,Filmscience",United States,yes,100k-25m,50k-50m,Jeremy Saulnier,"horror,thriller",English,4062536,"Horror,Thriller",others
217,2013,The Reluctant Fundamentalist,528731,15000000,2013-04-26,IFC Films,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,yes,100k-25m,50k-50m,Mira Nair,"drama,thriller","English,Urdu",2032557,"Drama,Thriller",others
